"Doctor","11/1/24","11/2/24","11/4/24","11/5/24","11/6/24","11/7/24","11/8/24","11/9/24","11/11/24","11/12/24","11/13/24","11/14/24","11/15/24","11/16/24","11/18/24","11/19/24","11/20/24","11/21/24","11/22/24","11/23/24","11/25/24","11/26/24","11/27/24","11/28/24","11/29/24","11/30/24","12/2/24","12/3/24","12/4/24","12/5/24","12/6/24","12/7/24","12/9/24","12/10/24","12/11/24","12/12/24","12/13/24","12/14/24","12/16/24","12/17/24","12/18/24","12/19/24","12/20/24","12/21/24","12/23/24","12/24/24","12/25/24","12/26/24","12/27/24","12/28/24","12/30/24","12/31/24","1/1/25","1/2/25","1/3/25","1/4/25","1/6/25","1/7/25","1/8/25","1/9/25","1/10/25","1/11/25","1/13/25","1/14/25","1/15/25","1/16/25","1/17/25","1/18/25","1/20/25","1/21/25","1/22/25","1/23/25","1/24/25","1/25/25","1/27/25","1/28/25","1/29/25","1/30/25","1/31/25","Sum"
"ENDOCRINOLOGIST","6","14","11","9","2","2","1","13","9","10","0","14","12","3","3","3","4","8","6","4","9","2","4","5","7","12","3","8","9","1","9","3","1","14","14","12","4","1","10","6","2","7","1","13","4","10","5","8","8","3","14","11","14","13","9","14","1","3","1","5","6","4","12","5","4","8","2","12","1","16","11","3","0","12","10","11","11","1","5","548"
"HEPATOLOGIST","0","9","1","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0","1","0","1","1","0","1","1","0","0","0","0","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","1","0","1","1","0","0","0","1","0","1","1","1","1","1","0","1","0","0","0","1","1","0","0","1","0","0","1","1","0","1","1","54"
"GASTROENTEROLOGIST","2","7","3","6","6","5","1","8","3","2","0","5","6","0","5","2","6","2","6","4","8","1","3","1","8","8","2","6","7","5","5","2","1","8","8","6","3","3","7","8","8","7","6","1","1","8","5","0","1","6","0","1","5","6","6","2","6","2","3","7","6","8","6","5","1","3","2","2","10","4","8","6","7","5","5","4","2","7","3","354"
"GYNECOLOGIST","0","2","1","2","3","3","1","0","3","1","3","3","2","1","1","2","1","0","2","3","2","2","0","2","3","0","2","3","2","2","2","1","1","2","2","3","3","1","1","2","2","2","2","3","1","1","0","2","0","1","2","1","2","0","0","2","1","0","2","2","1","2","0","0","2","2","2","2","3","2","1","2","1","1","0","0","3","2","2","124"
"MAMMOLOGIST","1","0","0","1","1","2","2","1","6","2","1","2","1","1","1","2","0","0","0","0","2","2","1","0","1","1","0","1","1","2","2","0","1","2","1","2","2","0","0","2","0","2","3","2","1","2","1","1","3","1","3","2","1","0","0","0","0","2","0","1","2","0","2","1","0","2","2","2","2","2","1","0","2","2","3","1","1","2","1","100"
"NEUROLOGIST","29","26","13","23","23","3","28","16","25","10","28","12","0","28","3","10","29","29","18","19","14","9","10","21","23","24","24","3","15","2","17","14","27","11","4","4","23","19","3","3","22","2","25","22","3","3","32","12","11","25","29","30","23","12","3","24","17","13","28","3","15","0","14","2","4","4","20","23","18","30","12","9","27","7","30","0","30","1","27","1254"
"OPHTHALMOLOGIST","15","33","2","16","28","15","18","20","13","18","17","26","1","8","28","26","13","18","8","5","13","10","17","2","28","29","20","16","9","24","20","5","26","24","28","21","18","12","27","25","1","1","11","24","29","4","17","11","28","24","24","14","12","8","2","25","24","29","29","16","22","27","25","7","13","4","28","18","7","20","18","10","3","20","15","22","15","25","16","1350"
"UROLOGIST","7","11","5","2","0","10","8","9","3","2","0","5","8","5","6","12","5","7","10","5","8","11","12","2","12","6","3","6","13","6","4","8","3","1","2","2","2","2","8","2","5","12","6","9","2","3","1","2","4","2","1","2","6","3","5","7","9","1","10","8","1","11","12","1","4","11","10","2","3","5","6","8","5","6","10","0","3","9","12","450"
"PULMONOLOGIST","10","10","2","8","10","5","5","7","0","6","4","6","2","17","11","13","15","9","2","10","11","14","8","2","5","7","12","11","7","21","11","4","2","3","5","3","4","5","3","17","2","10","8","18","2","7","18","16","15","5","3","13","17","10","11","5","14","4","6","8","10","5","2","11","5","11","3","9","10","1","6","3","1","19","6","15","5","13","14","648"
"DERMATOLOGIST","7","5","5","4","13","10","11","1","8","11","2","1","9","7","10","2","9","2","2","2","9","8","6","4","10","5","9","5","4","5","3","9","6","3","10","4","6","10","7","1","11","7","4","2","9","7","6","10","9","2","4","3","9","0","7","9","10","4","9","1","10","1","5","9","2","3","8","8","7","8","6","3","4","2","10","7","5","5","11","482"
"KINESIOLOGIST","1","2","2","3","0","3","4","2","3","4","3","1","2","3","2","3","4","4","2","0","4","4","1","4","4","2","3","2","0","1","3","0","1","2","2","4","1","1","3","2","1","2","1","1","2","2","4","2","2","3","0","3","1","4","1","2","0","4","2","3","0","3","1","4","1","1","0","2","2","0","3","2","2","2","2","2","1","1","4","165"
"NEUROSURGEON","20","6","4","10","6","0","2","11","10","0","3","4","10","0","2","12","3","10","4","2","4","11","13","13","6","10","3","5","14","0","1","3","0","3","9","7","14","13","5","4","6","9","4","10","6","9","7","5","15","12","2","14","8","14","12","7","0","4","8","10","4","2","13","15","8","3","4","0","14","2","9","4","9","10","13","3","0","2","14","548"
"ORTHOPEDIST","17","11","11","13","3","17","8","7","10","1","3","14","2","11","5","7","5","7","14","6","11","9","13","18","14","4","1","5","11","1","9","11","6","15","2","1","14","9","13","8","5","16","15","13","5","11","7","2","17","3","18","8","4","10","17","14","15","13","13","16","5","9","4","22","18","1","13","18","3","11","17","1","13","6","18","18","18","9","16","789"
"CARDIOLOGIST","21","8","20","1","15","6","3","2","17","8","18","2","8","13","19","8","15","22","15","6","1","21","1","21","13","23","19","20","9","19","10","12","15","21","24","19","10","10","18","6","3","9","7","7","6","1","0","24","10","9","17","5","23","19","2","10","21","23","11","15","4","24","6","23","16","15","12","6","4","5","5","19","9","1","24","22","23","24","4","987"
"PSYCHOTHERAPIST","9","18","16","4","19","5","5","13","14","14","2","21","6","3","21","20","20","19","15","13","2","10","9","6","17","12","2","5","16","2","20","12","11","14","19","8","16","13","6","21","19","16","20","20","17","20","16","16","15","18","4","21","21","1","19","3","8","18","4","19","20","12","0","7","15","23","15","6","15","13","18","3","18","13","23","8","15","22","2","1021"
"SURGEON","22","16","2","7","17","2","14","8","15","1","21","23","23","18","3","18","1","1","8","12","18","16","11","6","23","10","11","4","19","16","5","2","16","16","6","23","4","10","22","10","15","9","7","23","10","21","5","5","1","15","9","21","11","23","4","21","18","18","20","18","15","3","1","22","15","19","11","3","3","16","10","5","12","2","14","6","19","7","11","948"
