"Doctor","11/1/24","11/2/24","11/4/24","11/5/24","11/6/24","11/7/24","11/8/24","11/9/24","11/11/24","11/12/24","11/13/24","11/14/24","11/15/24","11/16/24","11/18/24","11/19/24","11/20/24","11/21/24","11/22/24","11/23/24","11/25/24","11/26/24","11/27/24","11/28/24","11/29/24","11/30/24","12/2/24","12/3/24","12/4/24","12/5/24","12/6/24","12/7/24","12/9/24","12/10/24","12/11/24","12/12/24","12/13/24","12/14/24","12/16/24","12/17/24","12/18/24","12/19/24","12/20/24","12/21/24","12/23/24","12/24/24","12/25/24","12/26/24","12/27/24","12/28/24","12/30/24","12/31/24","1/1/25","1/2/25","1/3/25","1/4/25","1/6/25","1/7/25","1/8/25","1/9/25","1/10/25","1/11/25","1/13/25","1/14/25","1/15/25","1/16/25","1/17/25","1/18/25","1/20/25","1/21/25","1/22/25","1/23/25","1/24/25","1/25/25","1/27/25","1/28/25","1/29/25","1/30/25","1/31/25","Sum"
"allergologist","2","1","0","3","1","2","1","1","2","0","1","1","1","1","1","1","1","1","0","1","1","1","3","1","1","2","0","0","1","1","3","1","1","1","1","0","1","1","1","2","3","2","3","1","2","1","3","1","1","1","1","1","1","0","1","1","1","3","1","1","2","1","0","1","1","3","1","0","0","1","1","1","2","2","1","1","2","0","0","94"
"gastroenterologist ","2","1","1","3","0","1","1","1","2","0","1","3","2","1","1","1","1","1","0","1","0","2","3","1","1","2","0","1","1","1","1","1","1","1","1","0","1","2","1","2","3","4","1","1","1","3","1","1","0","1","3","1","1","0","1","1","0","1","1","1","1","1","0","1","1","3","1","0","0","3","1","3","2","1","1","1","1","0","0","94"
"hepatologist","1","1","1","1","1","2","1","2","2","0","1","3","1","1","1","1","3","1","0","3","0","1","3","3","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","2","1","4","3","1","2","1","3","1","0","1","1","1","1","0","1","1","0","3","1","2","2","1","0","1","3","1","1","1","0","1","1","3","4","2","3","2","1","0","0","103"
"gynecologist","2","1","0","1","0","2","3","2","2","0","1","3","0","1","3","1","1","1","0","3","0","2","1","3","1","1","0","0","1","1","1","1","1","1","1","0","3","1","1","1","3","2","1","1","2","1","3","1","1","1","3","1","1","0","1","1","0","1","1","2","2","1","0","1","1","3","1","1","0","1","1","3","2","1","1","2","2","0","1","99"
"cardiorheumatologist","2","1","0","1","0","1","3","2","2","0","1","1","0","1","3","1","3","1","0","3","0","2","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","2","3","2","1","1","1","3","1","1","1","1","3","1","1","0","1","1","0","3","1","2","1","1","0","1","1","3","1","0","0","3","1","3","2","1","3","2","2","0","1","99"
"speech therapist","2","1","0","1","0","2","3","2","2","0","1","1","0","1","1","1","3","1","0","3","1","2","1","3","1","1","1","0","1","1","1","1","1","1","1","0","3","2","1","2","3","2","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","3","1","1","1","1","0","1","3","1","1","1","0","3","1","3","2","1","3","1","1","1","0","99"
"ENT","2","1","0","1","1","1","3","2","2","0","1","3","1","1","1","1","1","1","0","1","0","2","3","3","1","2","1","1","1","1","1","1","1","1","1","1","3","2","1","2","1","2","1","1","1","1","3","1","1","1","3","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","3","2","1","3","1","2","0","0","97"
"neurologist","2","1","0","1","0","1","1","1","2","0","1","3","1","1","1","1","3","1","0","3","0","1","1","1","1","1","0","0","1","1","3","1","1","1","1","0","3","2","1","2","3","2","3","1","2","1","3","1","0","1","1","1","1","1","1","1","0","1","1","2","1","1","0","1","3","1","1","1","1","3","1","3","2","1","1","2","2","0","1","99"
"neuropathologist","2","1","0","1","0","2","1","2","2","0","1","3","2","1","3","1","1","1","0","3","0","2","3","1","1","2","0","0","1","1","1","1","1","1","1","1","3","2","1","1","1","4","1","1","1","3","1","1","0","1","1","1","1","0","1","1","0","1","1","2","1","1","0","1","3","1","1","1","0","3","1","1","2","2","3","1","1","0","0","97"
"orthopedist","2","1","0","1","0","2","3","2","2","0","1","3","0","1","3","1","1","1","0","3","0","2","1","3","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","2","3","4","1","1","1","1","1","1","0","1","3","1","1","1","1","1","1","1","1","2","1","1","0","1","1","1","1","1","0","3","1","3","4","2","3","2","2","1","0","103"
"ophthalmologist","2","1","1","3","1","1","1","2","2","0","1","3","1","1","3","1","1","1","0","1","0","2","1","3","1","1","0","1","1","1","3","1","1","1","1","0","1","1","1","1","1","2","3","1","1","1","3","1","0","1","3","1","1","0","1","1","0","3","1","2","1","1","0","1","1","3","1","0","0","3","1","1","2","2","1","2","1","0","1","98"
"otorhinolaryngologist","1","1","1","1","0","1","1","1","4","0","1","1","0","1","1","1","1","1","0","1","0","1","3","3","1","1","1","0","1","1","1","1","1","1","1","1","3","1","1","2","3","4","1","1","1","3","1","1","0","1","3","1","1","0","1","1","1","3","1","2","1","1","0","1","1","3","1","0","0","3","1","1","4","2","3","1","2","1","1","101"
"neuropsychiatrist","2","1","1","1","0","1","3","1","2","0","1","3","0","1","1","1","3","1","1","1","1","2","3","3","1","2","0","0","1","1","3","1","1","1","1","0","3","2","1","1","3","2","3","1","2","1","3","1","1","1","1","1","1","0","1","1","0","1","1","2","2","1","0","1","1","3","1","1","0","1","1","1","2","2","1","1","1","1","0","101"
"pulmonologist","1","1","1","1","1","2","3","1","2","0","1","3","0","1","1","1","1","1","0","3","0","1","3","3","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","2","1","4","3","1","1","3","1","1","1","1","1","1","1","0","1","1","1","1","1","2","1","1","0","1","3","3","1","0","0","3","1","1","2","2","1","2","1","1","1","99"
"orthopedic traumatologist","1","1","1","1","0","2","1","2","4","0","1","1","0","1","1","1","1","1","1","3","0","2","3","3","1","1","0","0","1","1","1","1","1","1","1","1","3","2","1","2","3","2","3","1","1","1","3","1","0","1","1","1","1","0","1","1","0","1","1","1","1","1","0","1","1","1","1","0","1","3","1","1","4","2","3","2","1","0","0","98"
"urologist","2","1","0","1","0","2","3","2","2","0","1","3","0","1","3","1","3","1","0","3","1","1","1","1","1","2","1","1","1","1","3","1","1","1","1","0","3","2","1","2","3","4","3","1","2","3","3","1","0","1","1","1","1","1","1","1","1","1","1","1","2","1","0","1","1","3","1","1","0","1","1","1","2","2","1","2","2","0","1","109"
